SOURCE	Age	CO2.2.5	CO2.16	CO2.50	CO2.84	CO2.97.5
MB	3.18E+00	2.48E-04	3.09E-04	3.46E-04	3.86E-04	4.74E-04
MB	3.19E+00	1.98E-04	2.44E-04	2.72E-04	3.02E-04	3.69E-04
MB	3.20E+00	2.21E-04	2.75E-04	3.07E-04	3.42E-04	4.19E-04
SOSDIAN	3.20E+00	2.60E-04	3.26E-04	3.63E-04	4.06E-04	4.97E-04
MB	3.21E+00	2.19E-04	2.73E-04	3.05E-04	3.39E-04	4.15E-04
BARTOLI	3.22E+00	2.05E-04	2.54E-04	2.82E-04	3.15E-04	3.89E-04
MB	3.22E+00	2.44E-04	3.04E-04	3.40E-04	3.81E-04	4.69E-04
BARTOLI	3.24E+00	2.33E-04	2.93E-04	3.27E-04	3.67E-04	4.52E-04
MB	3.24E+00	2.64E-04	3.31E-04	3.73E-04	4.22E-04	5.25E-04
MB	3.24E+00	2.33E-04	2.88E-04	3.22E-04	3.59E-04	4.44E-04
MB	3.25E+00	2.16E-04	2.65E-04	2.95E-04	3.28E-04	4.05E-04
SOSDIAN	3.25E+00	2.29E-04	2.84E-04	3.18E-04	3.54E-04	4.34E-04
BARTOLI	3.26E+00	2.02E-04	2.50E-04	2.79E-04	3.11E-04	3.79E-04
MB	3.26E+00	2.28E-04	2.84E-04	3.17E-04	3.55E-04	4.38E-04
MB	3.27E+00	2.36E-04	2.97E-04	3.32E-04	3.73E-04	4.61E-04
MB	3.28E+00	2.11E-04	2.62E-04	2.92E-04	3.25E-04	3.95E-04
BARTOLI	3.32E+00	2.11E-04	2.62E-04	2.93E-04	3.29E-04	4.05E-04
BARTOLI	3.40E+00	2.07E-04	2.57E-04	2.88E-04	3.21E-04	3.93E-04
BARTOLI	3.41E+00	2.10E-04	2.63E-04	2.94E-04	3.29E-04	4.03E-04
BARTOLI	3.47E+00	2.24E-04	2.79E-04	3.12E-04	3.47E-04	4.29E-04
BARTOLI	3.54E+00	2.30E-04	2.88E-04	3.23E-04	3.63E-04	4.50E-04
