age	CO2 	CO2.1sig
240.190365	252.80	3.00
241.333045	259.70	3.00
241.8554	263.20	3.00
242.68546	279.00	3.00
243.13852	280.20	3.00
244.121765	263.70	3.00
244.582335	252.30	3.00
245.05701	249.90	3.00
245.564	236.70	3.00
246.18881	230.40	3.00
246.870485	219.40	3.00
249.09987	214.70	3.00
251.39057	200.20	3.00
252.132255	213.90	3.00
252.95372	195.40	3.00
253.75668	196.70	3.00
254.587105	195.40	3.00
256.29866	199.00	3.00
257.060585	201.90	3.00
257.908065	204.00	3.00
259.396895	203.90	3.00
260.89424	209.60	3.00
261.29392	205.70	3.00
262.054575	208.90	3.00
262.817095	214.60	3.00
264.58376	228.10	3.00
266.13445	199.90	3.00
267.007	211.70	3.00
268.25783	188.70	3.00
268.9955	187.20	3.00
269.94047	194.20	3.00
271.036035	198.80	3.00
272.14964	184.70	3.00
273.16583	190.40	3.00
274.164075	193.90	3.00
275.154635	194.10	3.00
276.257715	198.40	3.00
277.443	193.20	3.00
278.590905	202.20	3.00
279.619045	204.50	3.00
280.55895	211.00	3.00
281.40074	215.30	3.00
282.59289	223.70	3.00
